Product_Launch_Id,Product_Category,Weeks_Since_Launch,Stores_Selling,Units_that_sold_that_week,Distinct_Customers_Buying_At_Least_Once_Cumulative,Distinct_Customers_Buying_More_Than_Once_Cumulative,Cumulative_Units_Sold_To_Convenience_At_Home_Customers,Cumulative_Units_Sold_To_Family_Focussed_Customers,Cumulative_Units_Sold_To_Finest_Customers,Cumulative_Units_Sold_To_Grab_and_Go_Customers,Cumulative_Units_Sold_To_Shoppers_On_A_Budget,Cumulative_Units_Sold_To_Traditional_Homes_Customers,Cumulative_Units_Sold_To_Watching_The_Waistline_Customers,Cumulative_Units_Sold_To_Least_Price_Sensitive_Customers,Cumulative_Units_Sold_To_Price_Sensitive_Customers,Cumulative_Units_Sold_To_Splurge_And_Save_Customers,Cumulative_Units_Sold_To_Very_Price_Sensitive_Customers
166,Trail Mix & Snacks,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
166,Trail Mix & Snacks,2,50,80,72,3,16,7,12,10,13,10,7,14,32,11,16
166,Trail Mix & Snacks,3,170,262,314,11,82,32,37,33,39,49,52,59,132,55,73
166,Trail Mix & Snacks,4,600,1102,1323,48,307,163,179,123,170,180,243,273,523,204,343
166,Trail Mix & Snacks,5,827,1608,2726,147,663,355,383,240,354,396,499,533,1089,430,797
166,Trail Mix & Snacks,6,770,1333,3820,270,985,505,532,331,477,590,688,737,1595,599,1113
166,Trail Mix & Snacks,7,599,929,4526,378,1233,589,659,403,574,702,830,882,1959,719,1345
166,Trail Mix & Snacks,8,416,607,4986,441,1375,655,730,446,648,771,930,984,2188,777,1507
166,Trail Mix & Snacks,9,384,573,5395,500,1525,697,812,496,712,836,1017,1085,2395,829,1668
166,Trail Mix & Snacks,10,282,415,5708,543,1626,726,867,528,761,903,1061,1141,2550,875,1774
166,Trail Mix & Snacks,11,227,302,5921,578,1705,745,907,558,797,943,1104,1202,2674,909,1840
166,Trail Mix & Snacks,12,181,230,6089,599,1768,761,939,580,823,970,1133,1239,2755,942,1900
166,Trail Mix & Snacks,13,147,207,6229,620,1822,777,962,591,851,997,1163,1275,2810,965,1960
166,Trail Mix & Snacks,14,143,,,,,,,,,,,,,,
166,Trail Mix & Snacks,15,126,,,,,,,,,,,,,,
166,Trail Mix & Snacks,16,88,,,,,,,,,,,,,,
166,Trail Mix & Snacks,17,61,,,,,,,,,,,,,,
166,Trail Mix & Snacks,18,68,,,,,,,,,,,,,,
166,Trail Mix & Snacks,19,68,,,,,,,,,,,,,,
166,Trail Mix & Snacks,20,55,,,,,,,,,,,,,,
166,Trail Mix & Snacks,21,57,,,,,,,,,,,,,,
166,Trail Mix & Snacks,22,62,,,,,,,,,,,,,,
166,Trail Mix & Snacks,23,76,,,,,,,,,,,,,,
166,Trail Mix & Snacks,24,82,,,,,,,,,,,,,,
